sport ;epreuve;session;lieu;date;horaire_debut;horaire_fin
BMX Freestyle;Park - femmes, manche qualificative Park - hommes, manche qualificative;BMF01;La Concorde ;30/07/2024;13:25:00;16:30:00
BMX Freestyle;Park - femmes, finale Park - hommes, finale;BMF02;La Concorde ;31/07/2024;13:10:00;16:30:00
Boxe;54kg - femmes, 1/16 finale ou 1/8 finale 60kg - femmes, 1/16 finale ou 1/8 finale 63.5kg - hommes, 1/16 finale ou 1/8 finale 80kg - hommes, 1/16 finale ou 1/8 finale;BOX01;Arena Paris Nord;27/07/2024;15:30:00;17:30:00
Boxe;54kg - femmes, 1/16 finale ou 1/8 finale 60kg - femmes, 1/16 finale ou 1/8 finale 63.5kg - hommes, 1/16 finale ou 1/8 finale 80kg - hommes, 1/16 finale ou 1/8 finale;BOX02;Arena Paris Nord;27/07/2024;20:00:00;22:15:00
Boxe;50kg - femmes, 1/16 finale ou 1/8 finale 66kg - femmes, 1/16 finale ou 1/8 finale 51 kg - hommes, 1/16 finale ou 1/8 finale 57kg - hommes, 1/16 finale ou 1/8 finale 71kg - hommes, 1/16 finale ou 1/8 finale 92kg - hommes, 1/16 finale ou 1/8 finale;BOX03;Arena Paris Nord;28/07/2024;11:00:00;13:00:00
Boxe;50kg - femmes, 1/16 finale ou 1/8 finale 66kg - femmes, 1/16 finale ou 1/8 finale 51 kg - hommes, 1/16 finale ou 1/8 finale 57kg - hommes, 1/16 finale ou 1/8 finale 71kg - hommes, 1/16 finale ou 1/8 finale 92kg - hommes, 1/16 finale ou 1/8 finale;BOX04;Arena Paris Nord;28/07/2024;15:30:00;17:45:00
Boxe;50kg - femmes, 1/16 finale ou 1/8 finale 75kg - femmes, 1/16 finale ou 1/8 finale 71kg - hommes, 1/16 finale ou 1/8 finale 92kg - hommes, 1/16 finale ou 1/8 finale;BOX05;Arena Paris Nord;28/07/2024;20:00:00;22:00:00
Boxe;60kg - femmes, 1/16 finale ou 1/8 finale 63.5kg - hommes, 1/16 finale ou 1/8 finale +92kg - hommes, 1/16 finale ou 1/8 finale;BOX06;Arena Paris Nord;29/07/2024;11:00:00;13:00:00
Boxe;60kg - femmes, 1/16 finale ou 1/8 finale 63.5kg - hommes, 1/16 finale ou 1/8 finale +92kg - hommes, 1/16 finale ou 1/8 finale;BOX07;Arena Paris Nord;29/07/2024;15:30:00;17:30:00
Boxe;60kg - femmes, 1/16 finale ou 1/8 finale 63.5kg - hommes, 1/16 finale ou 1/8 finale +92kg - hommes, 1/16 finale ou 1/8 finale;BOX08;Arena Paris Nord;29/07/2024;20:00:00;22:00:00
Boxe;54kg - femmes, 1/16 finale ou 1/8 finale 57kg - femmes, 1/16 finale ou 1/8 finale 51 kg - hommes, 1/16 finale ou 1/8 finale 80kg - hommes, 1/16 finale ou 1/8 finale ;BOX09;Arena Paris Nord;30/07/2024;11:00:00;13:30:00
Boxe;54kg - femmes, 1/16 finale ou 1/8 finale 57kg - femmes, 1/16 finale ou 1/8 finale 51 kg - hommes, 1/16 finale ou 1/8 finale 80kg - hommes, 1/16 finale ou 1/8 finale ;BOX10;Arena Paris Nord;30/07/2024;15:30:00;18:00:00
Boxe;54kg - femmes, 1/16 finale ou 1/8 finale 57kg - femmes, 1/16 finale ou 1/8 finale 51 kg - hommes, 1/16 finale ou 1/8 finale 80kg - hommes, 1/16 finale ou 1/8 finale ;BOX11;Arena Paris Nord;30/07/2024;20:00:00;22:30:00
Boxe;60kg - femmes, quart de finale 66kg - femmes, 1/16 finale ou 1/8 finale 57 kg - hommes, 1/16 finale ou 1/8 finale 71 kg - hommes, 1/16 finale ou 1/8 finale ;BOX12;Arena Paris Nord;31/07/2024;11:00:00;13:15:00
Boxe;60kg - femmes, quart de finale 66kg - femmes, 1/16 finale ou 1/8 finale 57 kg - hommes, 1/16 finale ou 1/8 finale 71 kg - hommes, 1/16 finale ou 1/8 finale 57 kg - hommes, 1/16 finale ou 1/8 finale 71 kg - hommes, 1/16 finale ou 1/8 finale ;BOX13;Arena Paris Nord;31/07/2024;15:30:00;18:00:00
Boxe;60kg - femmes, quart de finale 66kg - femmes, 1/16 finale ou 1/8 finale 57 kg - hommes, 1/16 finale ou 1/8 finale 71 kg - hommes, 1/16 finale ou 1/8 finale ;BOX14;Arena Paris Nord;31/07/2024;20:00:00;22:15:00
Boxe;60kg - femmes, quart de finale 66kg - femmes, 1/16 finale ou 1/8 finale 57 kg - hommes, 1/16 finale ou 1/8 finale 71 kg - hommes, 1/16 finale ou 1/8 finale 60kg - femmes, quart de finale 66kg - femmes, 1/16 finale ou 1/8 finale 57 kg - hommes, 1/16 finale ou 1/8 finale 71 kg - hommes, 1/16 finale ou 1/8 finale ;BOX15;Arena Paris Nord;01/08/2024;11:00:00;13:15:00
Boxe;50kg - femmes, 1/16 finale ou 1/8 finale 54kg - femmes, quart de finale 75kg - femmes, 1/16 finale ou 1/8 finale  63,5kg - hommes, quart de finale 92kg - hommes, quart de finale;BOX16;Arena Paris Nord;01/08/2024;15:30:00;18:00:00
Boxe;50kg - femmes, 1/16 finale ou 1/8 finale 54kg - femmes, quart de finale 75kg - femmes, 1/16 finale ou 1/8 finale  63,5kg - hommes, quart de finale 92kg - hommes, quart de finale;BOX17;Arena Paris Nord;01/08/2024;20:00:00;22:15:00
Boxe;57kg - femmes, 1/16 finale ou 1/8 finale 51kg - hommes, quart de finale 80kg - hommes, quart de finale +92kg - hommes, quart de finale;BOX18;Arena Paris Nord;02/08/2024;15:30:00;18:00:00
Boxe;57kg - femmes, 1/16 finale ou 1/8 finale 51kg - hommes, quart de finale 80kg - hommes, quart de finale +92kg - hommes, quart de finale;BOX19;Arena Paris Nord;02/08/2024;20:00:00;22:30:00
Boxe;50kg - femmes quart de finale 60kg - femmes, demi-finale 50kg - femmes quart de finale 60kg - femmes, demi-finale;BOX20;Arena Paris Nord;03/08/2024;15:30:00;17:45:00
Boxe;50kg - femmes quart de finale 60kg - femmes, demi-finale 66kg - femmes, quart de finale 57kg - hommes, quart de finale 71kg - hommes, quart de finale;BOX21;Arena Paris Nord;03/08/2024;20:00:00;22:15:00
Boxe;54kg - femmes, demi-finale 57kg - femmes, quart de finale 75kg - femmes, quart de finale 51kg - hommes, demi-finale 63,5kg - hommes, demi-finale 80kg - hommes, demi-finale 92kg - hommes, demi-finale ;BOX22;Arena Paris Nord;04/08/2024;11:00:00;13:15:00
Boxe;54kg - femmes, demi-finale 57kg - femmes, quart de finale 75kg - femmes, quart de finale 51kg - hommes, demi-finale 63,5kg - hommes, demi-finale 80kg - hommes, demi-finale 92kg - hommes, demi-finale ;BOX23;Arena Paris Nord;04/08/2024;15:30:00;17:45:00
Boxe;54kg - femmes, demi-finales 60kg - femmes, finale 66kg - femmes, demi-finales 71kg - hommes, demi-finales;BOX24;Stade Roland-Garros - P.Chatrier;06/08/2024;21:30:00;23:30:00
Boxe;57kg - femmes, demi-finales 63,5kg - hommes, finale 80kg - hommes, finale +92kg - hommes, demi-finales;BOX25;Stade Roland-Garros - P.Chatrier;07/08/2024;21:30:00;23:30:00
Boxe;54kg - femmes, finale 75kg - femmes, demi-finales 51kg - hommes, finale 57kg - hommes, demi-finales;BOX26;Stade Roland-Garros - P.Chatrier;08/08/2024;21:30:00;23:30:00
Boxe;50kg - femmes, finale 66kg - femmes, finale 50kg - femmes, finale 66kg - femmes, finale;BOX27;Stade Roland-Garros - P.Chatrier;09/08/2024;21:30:00;23:30:00
Boxe;50kg - femmes, finale 66kg - femmes, finale;BOX28;Stade Roland-Garros - P.Chatrier;10/08/2024;21:30:00;23:30:00
Escalade;Bloc - hommes, demi-finale Vitesse - femmes, qualifications;CLB01;Site d escalade du Bourget;05/08/2024;10:00:00;14:00:00
Escalade;Bloc - femmes, demi-finale Vitesse - hommes, qualifications;CLB02;Site d escalade du Bourget;06/08/2024;10:00:00;14:00:00
Escalade;Difficult‚ - hommes, demi-finale Vitesse - femmes, finale;CLB03;Site d escalade du Bourget;07/08/2024;10:00:00;13:15:00
Escalade;Difficult‚ - femmes, demi-finale Vitesse - hommes, finale;CLB04;Site d escalade du Bourget;08/08/2024;10:00:00;13:15:00
Escalade;Difficult‚ - femmes, demi-finale Vitesse - hommes, finale;CLB05;Site d escalade du Bourget;09/08/2024;10:15:00;13:20:00
Escalade;Difficult‚ - femmes, demi-finale Vitesse - hommes, finale;CLB06;Site d escalade du Bourget;10/08/2024;10:15:00;13:20:00
Cyclisme sur route;Contre-la-montre individuel - femmes Contre-la-montre individuel - hommes;CRD01;Invalides;27/07/2024;14:30:00;18:30:00
Cyclisme sur route;Course sur route - hommes;CRD02;Pont Iena;03/08/2024;11:00:00;18:15:00
Cyclisme sur route;Course sur route - femmes;CRD03;Pont Iena;04/08/2024;14:00:00;18:45:00
